"Reaction","WT_mean","mip6_mean","log2FC","p_value","FDR"
"ASNN",0.00191408327203584,0.00416187893483034,1.12017447744865,2.85770706661097e-23,7.75921728845638e-23
"ASNNe",0,0,0,NA,1
"ASNS1",0,0,0,NA,1
"ASNt2r",0.0706871991282296,0.072934994791024,0.0451615897841984,1.14812394150999e-22,2.81454383375879e-22
"ASNt2r_rev",0,0,0,NA,1
"ASNt6",0,0,0,NA,1
"ASNt7",0,0,0,NA,1
"ASPCT",0,0,0,NA,1
"ASPGLU2m",0,0,0,NA,1
"ASPK",0,0,0,NA,1
"ASPOcm",0,0,0,NA,1
"ASPTA",0.0986475029652469,0.248267413546983,1.33153166069313,3.87961319837039e-23,1.04022128881306e-22
"ASPTA_rev",0,0,0,NA,1
"ASPTAm",0,0,0,NA,1
"ASPTAm_rev",3.68129435125069,3.86389234958947,0.0698417715926446,7.79826996356911e-22,1.26759057128887e-21
"ASPt2m",0,0,0,NA,1
"ASPt2m_rev",3.68129435125069,3.86389234958947,0.0698417715926446,7.79826996356911e-22,1.26759057128887e-21
"ASPt2n",0.108415766104339,0.186475117702338,0.78240299459328,0.00387671748693074,0.00510156994445793
"ASPt2r",0,0,0,NA,1
"ASPt2r_rev",3.30713947058708,3.41651599354757,0.0469419774945655,7.79369709331353e-22,1.26759057128887e-21
"ASPt5n",0.108415766104339,0.186475117702338,0.78240299459328,0.00387671748693074,0.00510156994445793
"ATPATF1",0,0,0,NA,1
"ATPH1",0,0,0,NA,1
"ATPM",1,1,0,NA,1
"ATPPRT",0,0.0020908610834597,11.0305713327774,1.44019401345064e-28,1.21145731719672e-27
"ATPS",0,0,0,NA,1
"ATPS3m",25.5925898340734,26.5883119053856,0.0550660333026042,7.75606873668575e-22,1.26759057128887e-21
"ATPtm_H",30.38132806191,31.5705227014468,0.0553932093419505,7.76859215639571e-22,1.26759057128887e-21
"BIOMASS_SC5_notrace",0.676235160827863,0.676235160827863,0,NA,1
"BPNT",0,0,0,NA,1
"BTDD_RR",6.98623350765087,6.91800739419506,-0.0141583063842998,7.80055736177764e-22,1.26759057128887e-21
"BTDt_RR",0,0,0,NA,1
"BTDt_RR_rev",6.98623350765087,6.91800739419506,-0.0141583063842998,7.80055736177764e-22,1.26759057128887e-21
"C14STR",0.00148771735381898,0.00148771735381898,0,NA,1
"C22STDS",0,0,0,NA,1
"C22STDSx",0,0,0,NA,1
"C24STRer",0.0004733646125795,0.0004733646125795,0,NA,1
"C3STDH1",0.00148771735381898,0.00148771735381898,0,NA,1
"C3STDH2",0.00148771735381898,0.00148771735381898,0,NA,1
"C3STKR1",0.00148771735381898,0.00148771735381898,0,NA,1
"C3STKR2",0.00148771735381898,0.00148771735381898,0,NA,1
"C4STMO1",0.00148771735381898,0.00148771735381898,0,NA,1
"C4STMO2",0.00148771735381898,0.00148771735381898,0,NA,1
"C5STDS",0,0,0,NA,1
"C8STI",0,0,0,NA,1
"CAT",0,0,0,NA,1
"CBPS",0,0,0,NA,1
"CERASE124er",0,0,0,NA,1
"CERASE126er",0,0,0,NA,1
"CERASE224er",0,0,0,NA,1
"CERASE226er",0,0,0,NA,1
"CERS124er",0,0,0,NA,1
"CERS126er",0,0,0,NA,1
"CERS224er",0,0,0,NA,1
"CERS226er",0,0,0,NA,1
"CHLPCTD",0.000105570205321611,0.00010574060540771,0.00230495032702607,1.92933197761105e-27,1.25406578544718e-26
"CHLSTI",0.000473364612577479,0.000473364612577255,-6.8265018796312e-13,0.0493515281103875,0.062087406332423
"CHOLK",0.000105570205321611,0.00010574060540771,0.00230495032702607,1.92933197761105e-27,1.25406578544718e-26
"CHORM",0,0,0,NA,1
"CHORS",0,0,0,NA,1
"CITt2r",0,0,0,NA,1
"CITt2r_rev",0,0,0,NA,1
"CITtam",0,0,0,NA,1
"CITtam_rev",0.145958900534626,0.303637321950707,1.0567818107353,7.33835087910726e-22,1.26759057128887e-21
"CITtbm",0,0,0,NA,1
"CITtcm",0.145758900534629,0.303417527914489,1.05771530507118,7.27068124253604e-22,1.26759057128887e-21
"CITtcm_rev",0,0,0,NA,1
"CMPN",0,0,0,NA,1
"CO2t",0,0,0,NA,1
"CO2t_rev",22.0005584763078,22.9182935303517,0.0589594775502705,7.79484007016099e-22,1.26759057128887e-21
"CO2tm",0,0,0,NA,1
"CO2tm_rev",6.96795456942469,7.25837217068351,0.058910806453864,7.80055736177764e-22,1.26759057128887e-21
"CO2tn",0.108415766104339,0.186475117702338,0.78240299459328,0.00387671748693074,0.00510156994445793
"CO2tv",0,0,0,NA,1
"COAtim",0.0089263041229294,0.00892630412294436,2.41858701037824e-12,0.232310761531508,0.261578259047288
"CRNCARtm",0,0,0,NA,1
"CRNtim",0,0,0,NA,1
"CSNATm",0,0,0,NA,1
"CSNATr",0,0,0,NA,1
"CSND",0.0723571622085824,0,-16.1428681456314,1.78998689666295e-25,8.72618612123188e-25
"CSNt2",0.0723571622085824,0,-16.1428681456314,1.78998689666295e-25,8.72618612123188e-25
"CSm",1.00876298038961,1.17724259391336,0.222824204240543,7.69825769775946e-22,1.26759057128887e-21
"CTPS1",0.030227711689017,0.0297401679520597,-0.0234581904328306,0.0140225856325487,0.0180110456178544
"CTPS2",0,0.000487543736919597,8.93234391514638,0.325178960006528,0.356782030288492
"CTPtm",8.25006896209049e-05,0,-6.38371620754652,4.77938015678093e-25,1.93429630873492e-24
"CYOOm",11.4896617637603,11.9623066521357,0.058159273422275,3.03606872695624e-22,7.08298252142433e-22
"CYOR_u6m",22.9791156131588,23.9245133042713,0.058166299122397,3.03560543476252e-22,7.08298252142433e-22
"CYSS",0,0,0,NA,1
"CYSTGL",0.00914946172606565,0.0126455975074787,0.466832840772083,3.08755173816126e-25,1.36552545945483e-24
"CYSTL",0,0,0,NA,1
"CYSTS",0.00914946172606565,0.0126455975074787,0.466832840772085,4.46147276435815e-23,1.18165916886583e-22
"CYSt2r",0,0,0,NA,1
"CYSt2r_rev",0.0046863096646017,0.00818244544601482,0.803948274831414,2.49506635999554e-25,1.16346029178053e-24
"CYTD",0,0,0,NA,1
"CYTDK2",0,0,0,NA,1
"CYTK1",0,0,0,NA,1
"CYTK1_rev",0.0182880261692104,0.0182878557691215,-1.34417495074358e-05,4.46220944886398e-23,1.18165916886583e-22
"CYTK2",0,0,0,NA,1
"CYTK2_rev",0,0,0,NA,1
"DADA",1.7741935483871e-06,0,-1.47206844431522,0.325178960006528,0.356782030288492
"DADK",0,0,0,NA,1
"DADK_rev",0.0048688931579606,0.00486889315787508,-2.53359002188947e-11,0.0360300499369166,0.0454614453615801
"DAGCPT_SC",0.000105570205321611,0.00010574060540771,0.00230495032702607,1.92933197761105e-27,1.25406578544718e-26
"DAGPYP_SC",0.00456872226677202,0.00456889266689613,5.37955736303014e-05,1.06084296597871e-24,3.18252889793612e-24
"DASYN_SC",0.00358404635229192,0.0118341153143296,1.72301008564544,2.54886426970628e-22,6.14304927923593e-22
"DASYN_SC_rev",0,0,0,NA,1
"DASYNm_SC",8.25006896209049e-05,0,-6.38371620754652,4.77938015678093e-25,1.93429630873492e-24
"DB4PS",0.000669472809213608,0.00066947280920811,-1.18299337359866e-11,0.397435643140809,0.419950470215288
"DCMPDA",0,0,0,NA,1
"DCMPDA_rev",0.00162296438598687,0.00162296438598687,0,NA,1
"DCTPD",0,0,0,NA,1
"DCYTD",0,0,0,NA,1
"DDPA",0,0,0,NA,1
"DDPAm",0,0,0,NA,1
"DESAT16",0,0,0,NA,1
"DESAT18",0,0,0,NA,1
"DESAT18_2",0.000669472809213608,0.00066947280920811,-1.18299337359866e-11,0.397435643140809,0.419950470215288
"DGK1",0,0,0,NA,1
"DGK1_rev",0.00162296438598687,0.00162296438598687,0,NA,1
"DHAD1m",0,0,0,NA,1
"DHAD2m",0,0,0,NA,1
"DHAK",0.00010650160653291,1e-04,-0.0900029270213282,1.44019401345064e-28,1.21145731719672e-27
"DHAPtm",0,0.104139309086038,16.6681690681696,0.158983201656503,0.182851993326112
"DHFR",0,0,0,NA,1
"DHORD4i",0,0,0,NA,1
"DHORDfum",0,0,0,NA,1
"DHORDi",0,0,0,NA,1
"DHORTS",0,0,0,NA,1
"DHQS",0,0,0,NA,1
"DHQTi",0,0,0,NA,1
"DIAT",0,0,0,NA,1
