Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR9929280_2	(1.0, 8.942156011557792)	(2.0, 5.3457850839925785)	(3.0, 4.339270108513659)	(4.0, 3.6711338790755113)	(5.0, 3.0334749637166416)	(6.0, 2.4819742917479823)	(7.0, 2.1218131949418533)	(8.0, 1.8721832389337014)	(9.0, 1.664771686259677)	('>10', 21.061588081003062)	('>50', 7.089221601470816)	('>100', 15.309881027104435)	('>500', 6.242231070051389)	('>1k', 9.612857553939135)	('>5k', 2.3544735944607162)	('>10k+', 4.85718461323098)
SRR9929281_1	(1.0, 7.867249169741497)	(2.0, 4.246578165710752)	(3.0, 3.1586209981297353)	(4.0, 2.5325992933670443)	(5.0, 2.2289864719505355)	(6.0, 1.920460656751865)	(7.0, 1.6571475852846955)	(8.0, 1.5165158414334534)	(9.0, 1.3178939590766652)	('>10', 22.575592621028946)	('>50', 8.292619151792904)	('>100', 16.369489660663234)	('>500', 6.2401968332428455)	('>1k', 10.909803514553037)	('>5k', 2.9049272840024982)	('>10k+', 6.261318793270247)
SRR9929281_2	(1.0, 9.600987693136913)	(2.0, 5.831543754624919)	(3.0, 4.870809271196091)	(4.0, 3.9127265160309594)	(5.0, 3.120778510053463)	(6.0, 2.7693217602908544)	(7.0, 2.354189028744462)	(8.0, 1.991823074973172)	(9.0, 1.787349777424905)	('>10', 21.845575301010616)	('>50', 7.313906392726914)	('>100', 15.265570480192892)	('>500', 5.437419734965591)	('>1k', 8.017223601899769)	('>5k', 2.049385157849165)	('>10k+', 3.8313899448792683)
SRR9929282_1	(1.0, 7.045128677677526)	(2.0, 3.728303600206681)	(3.0, 2.7082801188368246)	(4.0, 2.2001225939244256)	(5.0, 1.8799032310529424)	(6.0, 1.6316895990375855)	(7.0, 1.4042594241407886)	(8.0, 1.2875562715309157)	(9.0, 1.144720727325517)	('>10', 19.162261052864093)	('>50', 7.892882074070366)	('>100', 18.209084597779558)	('>500', 7.733723173712025)	('>1k', 13.17305853073385)	('>5k', 3.4400417570432165)	('>10k+', 7.358984570063883)
SRR9929282_2	(1.0, 9.023809478994364)	(2.0, 5.084370514539051)	(3.0, 3.9207740967922655)	(4.0, 3.0862307780589973)	(5.0, 2.552635409576055)	(6.0, 2.141857403264645)	(7.0, 1.8248023817374888)	(8.0, 1.7290034089536772)	(9.0, 1.4186597115692738)	('>10', 19.73095605089454)	('>50', 7.8550545319567515)	('>100', 19.41690845548075)	('>500', 6.461637633040067)	('>1k', 9.098110350387598)	('>5k', 2.1489036040561893)	('>10k+', 4.506286190698218)
SRR9929283_1	(1.0, 6.73799033432784)	(2.0, 4.321514930660161)	(3.0, 3.2282741872766065)	(4.0, 2.621542192415326)	(5.0, 2.1809638268913236)	(6.0, 1.8668924347437985)	(7.0, 1.632637425956455)	(8.0, 1.4721878181573755)	(9.0, 1.2989083686373681)	('>10', 21.45114756191553)	('>50', 8.199246946262914)	('>100', 16.781485433745523)	('>500', 6.632847038588105)	('>1k', 11.743132153435248)	('>5k', 3.2761507700350094)	('>10k+', 6.55507857695134)
SRR9929283_2	(1.0, 8.523377345537234)	(2.0, 5.501542876020539)	(3.0, 4.526818321777247)	(4.0, 3.720976670216922)	(5.0, 3.0504449678951344)	(6.0, 2.5896013740292037)	(7.0, 2.229913264371729)	(8.0, 1.9706052664240308)	(9.0, 1.7235195976481081)	('>10', 21.812279685161243)	('>50', 7.336315960913285)	('>100', 15.934271558085564)	('>500', 6.018644623011856)	('>1k', 8.43563853461384)	('>5k', 2.431069909917443)	('>10k+', 4.194980044376638)
SRR9929284_1	(1.0, 7.0170553077081115)	(2.0, 4.051017915946304)	(3.0, 2.872050923334106)	(4.0, 2.335940263009923)	(5.0, 1.9508717823003003)	(6.0, 1.6999376310724745)	(7.0, 1.5415438111863964)	(8.0, 1.391057439502221)	(9.0, 1.2563670195176977)	('>10', 19.378247348203875)	('>50', 7.352229713835152)	('>100', 15.713130569668273)	('>500', 6.300987244211431)	('>1k', 12.684190579467886)	('>5k', 3.4125125149552042)	('>10k+', 11.042859936080578)
SRR9929284_2	(1.0, 9.678765474394186)	(2.0, 5.626569660638968)	(3.0, 4.385521474157312)	(4.0, 3.388896190581974)	(5.0, 2.8045828665950028)	(6.0, 2.2763816440782554)	(7.0, 1.906319478837206)	(8.0, 1.6538106266524928)	(9.0, 1.5385058385862298)	('>10', 18.934087434433124)	('>50', 6.754920759446965)	('>100', 15.34818806017832)	('>500', 6.391955735528176)	('>1k', 9.246356025648838)	('>5k', 2.629572813269921)	('>10k+', 7.435565916973)
SRR9929285_1	(1.0, 6.926613128046433)	(2.0, 3.811575181191044)	(3.0, 2.7191657652320718)	(4.0, 2.2081508923852757)	(5.0, 1.8137668148415549)	(6.0, 1.6367529220618255)	(7.0, 1.4226681551624452)	(8.0, 1.2784119540942769)	(9.0, 1.1301915162947196)	('>10', 18.514243978372875)	('>50', 7.732727217600223)	('>100', 17.58259479532926)	('>500', 7.336637106447485)	('>1k', 12.93302088636178)	('>5k', 3.6140472557097825)	('>10k+', 9.339432430869065)
SRR9929285_2	(1.0, 9.52714361660159)	(2.0, 5.456236992819083)	(3.0, 4.162229121025991)	(4.0, 3.1842315873446143)	(5.0, 2.5540047642075003)	(6.0, 2.152292653931834)	(7.0, 1.7634575305185345)	(8.0, 1.550998604112958)	(9.0, 1.2766236200475762)	('>10', 18.981644874359784)	('>50', 7.768672434097951)	('>100', 18.250774424492516)	('>500', 6.233245835444991)	('>1k', 8.664074530206973)	('>5k', 2.2810694866172216)	('>10k+', 6.193299924170959)
SRR9929286_1	(1.0, 8.32928694833361)	(2.0, 4.376600300766664)	(3.0, 3.197945461655526)	(4.0, 2.618750493816926)	(5.0, 2.3216779038450372)	(6.0, 2.0002325801984093)	(7.0, 1.7868400679749117)	(8.0, 1.5374121478706537)	(9.0, 1.4145466287386954)	('>10', 21.695492084273184)	('>50', 7.835318705782745)	('>100', 15.974400430217386)	('>500', 6.021384890543486)	('>1k', 10.151477888110398)	('>5k', 2.932021903977493)	('>10k+', 7.806611563894786)
SRR9929286_2	(1.0, 10.97817332537174)	(2.0, 6.364415799284084)	(3.0, 5.0600018070329815)	(4.0, 3.8746572962266392)	(5.0, 3.2226494485541513)	(6.0, 2.53796602438616)	(7.0, 2.2786536047918386)	(8.0, 1.849986476597753)	(9.0, 1.6214573395774967)	('>10', 20.77640484602024)	('>50', 7.121274770773879)	('>100', 14.760352578321312)	('>500', 4.796644404261987)	('>1k', 7.540130586178416)	('>5k', 2.47913220772397)	('>10k+', 4.738099484897262)
