Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
SRR9929279_2	(18.0, 2.0)	(19.0, 1221.0)	(20.0, 9040.0)	(21.0, 13731.0)	(22.0, 13142.0)	(23.0, 13881.0)	(24.0, 19902.0)	(25.0, 35347.0)	(26.0, 60246.0)	(27.0, 80282.0)	(28.0, 84124.0)	(29.0, 85151.0)	(30.0, 98757.0)	(31.0, 130941.0)	(32.0, 189578.0)	(33.0, 304170.0)	(34.0, 564757.0)	(35.0, 1614341.0)	(36.0, 13175006.0)	(37.0, 11135875.0)				
SRR9929280_1	(22.0, 6.0)	(23.0, 15.0)	(24.0, 59.0)	(25.0, 244.0)	(26.0, 1165.0)	(27.0, 3954.0)	(28.0, 10986.0)	(29.0, 31022.0)	(30.0, 75114.0)	(31.0, 150644.0)	(32.0, 255980.0)	(33.0, 395668.0)	(34.0, 610540.0)	(35.0, 1247398.0)	(36.0, 11623499.0)	(37.0, 17703502.0)								
SRR9929280_2	(18.0, 6.0)	(19.0, 2040.0)	(20.0, 13952.0)	(21.0, 20499.0)	(22.0, 19955.0)	(23.0, 21303.0)	(24.0, 31881.0)	(25.0, 56182.0)	(26.0, 90366.0)	(27.0, 113693.0)	(28.0, 113273.0)	(29.0, 106198.0)	(30.0, 116844.0)	(31.0, 149297.0)	(32.0, 211341.0)	(33.0, 331960.0)	(34.0, 610501.0)	(35.0, 1746283.0)	(36.0, 15062932.0)	(37.0, 13291290.0)				
SRR9929281_1	(22.0, 14.0)	(23.0, 20.0)	(24.0, 43.0)	(25.0, 166.0)	(26.0, 741.0)	(27.0, 2825.0)	(28.0, 9372.0)	(29.0, 28574.0)	(30.0, 71896.0)	(31.0, 148969.0)	(32.0, 254572.0)	(33.0, 395595.0)	(34.0, 605749.0)	(35.0, 1214481.0)	(36.0, 11214700.0)	(37.0, 17600712.0)								
SRR9929281_2	(18.0, 3.0)	(19.0, 1332.0)	(20.0, 8735.0)	(21.0, 11890.0)	(22.0, 10940.0)	(23.0, 11613.0)	(24.0, 17239.0)	(25.0, 30989.0)	(26.0, 51705.0)	(27.0, 69978.0)	(28.0, 78098.0)	(29.0, 86773.0)	(30.0, 110470.0)	(31.0, 155207.0)	(32.0, 231252.0)	(33.0, 374461.0)	(34.0, 705779.0)	(35.0, 2078483.0)	(36.0, 15969124.0)	(37.0, 11544358.0)				
SRR9929282_1	(21.0, 3.0)	(22.0, 6.0)	(23.0, 18.0)	(24.0, 43.0)	(25.0, 199.0)	(26.0, 853.0)	(27.0, 3271.0)	(28.0, 9912.0)	(29.0, 29803.0)	(30.0, 74724.0)	(31.0, 151735.0)	(32.0, 256678.0)	(33.0, 391319.0)	(34.0, 587551.0)	(35.0, 1161641.0)	(36.0, 10453322.0)	(37.0, 16447397.0)							
SRR9929282_2	(18.0, 2.0)	(19.0, 1358.0)	(20.0, 9131.0)	(21.0, 12978.0)	(22.0, 11955.0)	(23.0, 13161.0)	(24.0, 19507.0)	(25.0, 34909.0)	(26.0, 58143.0)	(27.0, 76046.0)	(28.0, 81559.0)	(29.0, 86080.0)	(30.0, 104310.0)	(31.0, 141204.0)	(32.0, 208038.0)	(33.0, 328876.0)	(34.0, 603884.0)	(35.0, 1682655.0)	(36.0, 13886004.0)	(37.0, 12208675.0)				
SRR9929283_1	(22.0, 9.0)	(23.0, 39.0)	(24.0, 128.0)	(25.0, 325.0)	(26.0, 1125.0)	(27.0, 3830.0)	(28.0, 11790.0)	(29.0, 33612.0)	(30.0, 81167.0)	(31.0, 160770.0)	(32.0, 268637.0)	(33.0, 411519.0)	(34.0, 618790.0)	(35.0, 1238072.0)	(36.0, 11012970.0)	(37.0, 16437883.0)								
SRR9929283_2	(18.0, 1.0)	(19.0, 1063.0)	(20.0, 7863.0)	(21.0, 11493.0)	(22.0, 11666.0)	(23.0, 13125.0)	(24.0, 20026.0)	(25.0, 35392.0)	(26.0, 58618.0)	(27.0, 76871.0)	(28.0, 82175.0)	(29.0, 87651.0)	(30.0, 104918.0)	(31.0, 141817.0)	(32.0, 207009.0)	(33.0, 333055.0)	(34.0, 618498.0)	(35.0, 1734060.0)	(36.0, 14209856.0)	(37.0, 12525509.0)				
SRR9929284_1	(22.0, 5.0)	(23.0, 16.0)	(24.0, 48.0)	(25.0, 232.0)	(26.0, 1036.0)	(27.0, 3558.0)	(28.0, 9999.0)	(29.0, 27709.0)	(30.0, 66263.0)	(31.0, 132759.0)	(32.0, 222829.0)	(33.0, 342969.0)	(34.0, 530605.0)	(35.0, 1087040.0)	(36.0, 9368554.0)	(37.0, 14861330.0)								
SRR9929284_2	(18.0, 3.0)	(19.0, 1947.0)	(20.0, 14840.0)	(21.0, 22580.0)	(22.0, 25401.0)	(23.0, 29245.0)	(24.0, 31767.0)	(25.0, 40710.0)	(26.0, 60311.0)	(27.0, 75547.0)	(28.0, 77927.0)	(29.0, 80797.0)	(30.0, 94928.0)	(31.0, 126541.0)	(32.0, 183787.0)	(33.0, 289879.0)	(34.0, 532713.0)	(35.0, 1497076.0)	(36.0, 12762676.0)	(37.0, 10706277.0)				
SRR9929285_1	(22.0, 14.0)	(23.0, 24.0)	(24.0, 71.0)	(25.0, 233.0)	(26.0, 981.0)	(27.0, 3397.0)	(28.0, 9863.0)	(29.0, 28688.0)	(30.0, 69329.0)	(31.0, 138536.0)	(32.0, 228677.0)	(33.0, 345659.0)	(34.0, 524340.0)	(35.0, 1033637.0)	(36.0, 9221749.0)	(37.0, 14335240.0)								
SRR9929285_2	(18.0, 2.0)	(19.0, 1266.0)	(20.0, 8706.0)	(21.0, 12444.0)	(22.0, 12073.0)	(23.0, 13325.0)	(24.0, 21054.0)	(25.0, 36746.0)	(26.0, 58187.0)	(27.0, 73664.0)	(28.0, 77509.0)	(29.0, 79963.0)	(30.0, 95773.0)	(31.0, 127614.0)	(32.0, 184487.0)	(33.0, 290129.0)	(34.0, 532863.0)	(35.0, 1490812.0)	(36.0, 12246139.0)	(37.0, 10577682.0)				
SRR9929286_1	(22.0, 12.0)	(23.0, 13.0)	(24.0, 23.0)	(25.0, 173.0)	(26.0, 834.0)	(27.0, 3160.0)	(28.0, 9361.0)	(29.0, 27429.0)	(30.0, 67047.0)	(31.0, 136575.0)	(32.0, 229473.0)	(33.0, 349462.0)	(34.0, 526576.0)	(35.0, 1051247.0)	(36.0, 9504094.0)	(37.0, 14761620.0)								
SRR9929286_2	(18.0, 2.0)	(19.0, 1513.0)	(20.0, 9812.0)	(21.0, 14503.0)	(22.0, 13207.0)	(23.0, 14232.0)	(24.0, 20920.0)	(25.0, 37195.0)	(26.0, 60963.0)	(27.0, 80001.0)	(28.0, 85129.0)	(29.0, 86513.0)	(30.0, 101870.0)	(31.0, 134424.0)	(32.0, 195750.0)	(33.0, 306690.0)	(34.0, 561842.0)	(35.0, 1573219.0)	(36.0, 12609619.0)	(37.0, 10759695.0)				
