"","Acetate","Fructose","Galactose","Gluconate","Glucose","Glycerol","Pyruvate","Succinate"
"b1411",8.34130361290035,8.54506471282395,8.50992388853475,8.40797482043136,8.8429494953835,8.5883015015174,8.62493980792071,9.00362603263539
"b0655",14.0008089283503,13.6163860704426,14.0835982130389,13.7333386290551,14.466591999317,14.4407331479481,14.1190236524306,14.4087471504252
"b0726",15.130101521114,14.38200946571,14.5764731651182,15.0327899117596,14.250427555567,14.5573382116591,14.4881351286278,15.2379165105533
"b1525",10.875582791973,10.4983445942395,10.711693245605,10.4644597933466,9.94470304488289,10.0134118997652,10.196699150276,10.1544260446682
"b3423",10.3600743801626,10.4731335673653,10.3805504769536,10.2061735273749,9.57021073316402,9.65446183999307,10.1771982923916,10.0915159966394
"b3561",8.06990793183133,8.26730492404334,8.11029010841579,8.54335718778626,8.45208638747553,7.63534722904863,7.3581401648959,6.80930472683718
"b2118",7.12560421516264,7.63975282193805,7.62332548201135,7.72240423147027,8.12688315309699,7.42595832039207,6.88502585506321,6.9781913644682
"b1241",11.3429035030177,12.2757167104912,12.3693327629174,11.8048804521214,11.9491262372115,11.7282364361709,13.4811813616503,11.5127481601276
"b0365",9.27753898710308,9.48226691049118,9.2758313827647,9.40860202492385,9.84717105678633,9.0779747677696,10.6972242790036,10.6018914061875
"b0512",9.05873503337769,8.0975446542011,9.19558001618738,7.98896969633775,9.37352177139634,9.48855190306106,8.55176991419049,9.11556860354638
"b2597",14.6598024805583,13.6686266428755,14.9901388994072,13.7876646934848,15.2995501790008,15.4431449887064,14.4439262189238,14.7693573049069
"b2767",8.81766007459101,7.87419375188677,8.52670872198795,7.57858585437109,8.18678740095342,8.31487502036844,8.01727655540551,8.17513450929085
"b1563",10.8860315508315,10.9869161681226,10.9778138268894,10.6442034106649,11.3253842532446,10.7142017007821,10.4345103995613,10.9652857267257
"b2147",9.58008602976095,9.39834054714768,9.1734293311388,8.42978439671462,9.54265156821136,9.89380365410809,9.93736437638398,9.98750366041932
"b1707",9.79084124916745,9.56041932255768,9.65487080425879,9.85973687535477,9.18909914494403,9.52756238955141,9.50243511630061,9.87420301506839
"b3201",12.3766542203765,12.4229878303442,12.0692760342839,11.9209568198102,11.8430045471792,11.6439874822786,11.8943971885193,11.793868072429
"b3339",17.6879485307665,17.6186514512111,17.4787285623802,17.4211587116353,17.3624135556861,17.1073648312003,17.3168550990557,17.3177682358854
"b3173",8.3646355257923,8.56009420580503,8.45562857441625,7.96607272981468,8.65850903503497,8.98834116906359,8.6245901917257,8.7095945927508
"b0871",10.3528060375849,11.5003967900147,11.4268901154765,11.2671290412795,11.9665114431769,11.9715079188723,10.357161466155,10.464400335549
"b3039",8.22958064424475,8.67318110498804,8.6621004607412,8.44917288026248,8.34150143910638,8.7110427773545,8.09673862486662,8.35992416785307
"b0213",8.34522148703228,8.7718883551477,8.51868907743779,8.46871949604421,8.62634888947824,8.81159171512973,9.08711811830311,9.58026662823893
