Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
SRR9929280_2	(14.0, 10.0)	(15.0, 81.0)	(16.0, 611.0)	(17.0, 4367.0)	(18.0, 19417.0)	(19.0, 45908.0)	(20.0, 59814.0)	(21.0, 53560.0)	(22.0, 47147.0)	(23.0, 49241.0)	(24.0, 56652.0)	(25.0, 69992.0)	(26.0, 96684.0)	(27.0, 117308.0)	(28.0, 116184.0)	(29.0, 108816.0)	(30.0, 119498.0)	(31.0, 152473.0)	(32.0, 215252.0)	(33.0, 337769.0)	(34.0, 623830.0)	(35.0, 1785712.0)	(36.0, 15285200.0)	(37.0, 13002103.0)		
SRR9929281_1	(22.0, 14.0)	(23.0, 20.0)	(24.0, 52.0)	(25.0, 191.0)	(26.0, 835.0)	(27.0, 3075.0)	(28.0, 9997.0)	(29.0, 30131.0)	(30.0, 74580.0)	(31.0, 152572.0)	(32.0, 258917.0)	(33.0, 400501.0)	(34.0, 617683.0)	(35.0, 1258781.0)	(36.0, 11388966.0)	(37.0, 17472414.0)										
SRR9929281_2	(14.0, 4.0)	(15.0, 53.0)	(16.0, 339.0)	(17.0, 2413.0)	(18.0, 11325.0)	(19.0, 26383.0)	(20.0, 32955.0)	(21.0, 26968.0)	(22.0, 21066.0)	(23.0, 20667.0)	(24.0, 25630.0)	(25.0, 37379.0)	(26.0, 55461.0)	(27.0, 72315.0)	(28.0, 79965.0)	(29.0, 88558.0)	(30.0, 112485.0)	(31.0, 157731.0)	(32.0, 235101.0)	(33.0, 382045.0)	(34.0, 724855.0)	(35.0, 2130753.0)	(36.0, 16174039.0)	(37.0, 11250239.0)		
SRR9929282_1	(21.0, 4.0)	(22.0, 6.0)	(23.0, 23.0)	(24.0, 59.0)	(25.0, 309.0)	(26.0, 1117.0)	(27.0, 3869.0)	(28.0, 11296.0)	(29.0, 32758.0)	(30.0, 79863.0)	(31.0, 158734.0)	(32.0, 264296.0)	(33.0, 401936.0)	(34.0, 618209.0)	(35.0, 1291173.0)	(36.0, 10736740.0)	(37.0, 16208542.0)									
SRR9929282_2	(14.0, 9.0)	(15.0, 119.0)	(16.0, 751.0)	(17.0, 5635.0)	(18.0, 22096.0)	(19.0, 43715.0)	(20.0, 48365.0)	(21.0, 39675.0)	(22.0, 33972.0)	(23.0, 34171.0)	(24.0, 37227.0)	(25.0, 47880.0)	(26.0, 67104.0)	(27.0, 82906.0)	(28.0, 86995.0)	(29.0, 90947.0)	(30.0, 109169.0)	(31.0, 146988.0)	(32.0, 215571.0)	(33.0, 341831.0)	(34.0, 635286.0)	(35.0, 1760275.0)	(36.0, 14199084.0)	(37.0, 11759163.0)		
SRR9929283_1	(22.0, 10.0)	(23.0, 47.0)	(24.0, 189.0)	(25.0, 497.0)	(26.0, 1498.0)	(27.0, 4580.0)	(28.0, 13290.0)	(29.0, 36538.0)	(30.0, 86060.0)	(31.0, 167212.0)	(32.0, 275929.0)	(33.0, 419939.0)	(34.0, 636555.0)	(35.0, 1299540.0)	(36.0, 11247951.0)	(37.0, 16221030.0)										
SRR9929283_2	(14.0, 1.0)	(15.0, 37.0)	(16.0, 340.0)	(17.0, 2308.0)	(18.0, 10200.0)	(19.0, 24678.0)	(20.0, 32149.0)	(21.0, 28829.0)	(22.0, 25224.0)	(23.0, 26932.0)	(24.0, 31214.0)	(25.0, 41323.0)	(26.0, 61586.0)	(27.0, 79001.0)	(28.0, 84314.0)	(29.0, 89973.0)	(30.0, 107391.0)	(31.0, 145204.0)	(32.0, 211966.0)	(33.0, 341345.0)	(34.0, 637656.0)	(35.0, 1778879.0)	(36.0, 14433696.0)	(37.0, 12216619.0)		
SRR9929284_1	(22.0, 5.0)	(23.0, 18.0)	(24.0, 59.0)	(25.0, 272.0)	(26.0, 1154.0)	(27.0, 3863.0)	(28.0, 10677.0)	(29.0, 29461.0)	(30.0, 69484.0)	(31.0, 137182.0)	(32.0, 227513.0)	(33.0, 349019.0)	(34.0, 541225.0)	(35.0, 1121816.0)	(36.0, 9575801.0)	(37.0, 14687899.0)										
SRR9929284_2	(13.0, 1.0)	(14.0, 6.0)	(15.0, 69.0)	(16.0, 478.0)	(17.0, 3403.0)	(18.0, 14108.0)	(19.0, 31303.0)	(20.0, 40175.0)	(21.0, 35585.0)	(22.0, 31957.0)	(23.0, 33350.0)	(24.0, 34154.0)	(25.0, 42085.0)	(26.0, 61132.0)	(27.0, 76302.0)	(28.0, 79027.0)	(29.0, 82358.0)	(30.0, 97000.0)	(31.0, 129513.0)	(32.0, 188705.0)	(33.0, 300490.0)	(34.0, 558182.0)	(35.0, 1561346.0)	(36.0, 13027910.0)	(37.0, 10326809.0)	
SRR9929285_1	(22.0, 14.0)	(23.0, 27.0)	(24.0, 114.0)	(25.0, 447.0)	(26.0, 1468.0)	(27.0, 4353.0)	(28.0, 11624.0)	(29.0, 31835.0)	(30.0, 74348.0)	(31.0, 145439.0)	(32.0, 236986.0)	(33.0, 359220.0)	(34.0, 576783.0)	(35.0, 1217926.0)	(36.0, 9438924.0)	(37.0, 14169474.0)										
SRR9929285_2	(14.0, 4.0)	(15.0, 51.0)	(16.0, 475.0)	(17.0, 3419.0)	(18.0, 16293.0)	(19.0, 39289.0)	(20.0, 53946.0)	(21.0, 53055.0)	(22.0, 49936.0)	(23.0, 56090.0)	(24.0, 63000.0)	(25.0, 62681.0)	(26.0, 71357.0)	(27.0, 80756.0)	(28.0, 82819.0)	(29.0, 84308.0)	(30.0, 99923.0)	(31.0, 132204.0)	(32.0, 189933.0)	(33.0, 297772.0)	(34.0, 547883.0)	(35.0, 1528055.0)	(36.0, 12441586.0)	(37.0, 10314147.0)		
SRR9929286_1	(21.0, 1.0)	(22.0, 12.0)	(23.0, 15.0)	(24.0, 39.0)	(25.0, 234.0)	(26.0, 981.0)	(27.0, 3477.0)	(28.0, 10237.0)	(29.0, 29434.0)	(30.0, 70766.0)	(31.0, 141335.0)	(32.0, 234791.0)	(33.0, 356488.0)	(34.0, 547264.0)	(35.0, 1129168.0)	(36.0, 9706759.0)	(37.0, 14616920.0)									
SRR9929286_2	(14.0, 2.0)	(15.0, 61.0)	(16.0, 404.0)	(17.0, 3054.0)	(18.0, 13935.0)	(19.0, 32796.0)	(20.0, 42972.0)	(21.0, 38748.0)	(22.0, 32198.0)	(23.0, 33647.0)	(24.0, 36810.0)	(25.0, 45797.0)	(26.0, 65222.0)	(27.0, 82574.0)	(28.0, 87389.0)	(29.0, 88810.0)	(30.0, 104468.0)	(31.0, 137601.0)	(32.0, 200029.0)	(33.0, 313812.0)	(34.0, 578408.0)	(35.0, 1616202.0)	(36.0, 12832329.0)	(37.0, 10460653.0)		
