"","mip6_20_vs_0_logFC","mip6_20_vs_0_padj","mip6_120_vs_20_logFC","mip6_120_vs_20_padj","WT_20_vs_0_logFC","WT_20_vs_0_padj","WT_120_vs_20_logFC","WT_120_vs_20_padj","0_mip6d_vs_WT_logFC","0_mip6d_vs_WT_padj","20_mip6d_vs_WT_logFC","20_mip6d_vs_WT_padj","120_mip6d_vs_WT_logFC","120_mip6d_vs_WT_padj"
"YHR090C",0.265258938904154,0.0703685046756489,-0.170792566268216,0.2885915715393,0.383055394549137,0.00547371109624241,-0.330769855055392,0.0206829947381941,0.00922307023412651,0.996369902468643,-0.108573385410856,0.567649247397828,0.0514039033763191,0.998144679236324
"YHR091C",0.26210338631398,0.00707803978821587,-0.0720688382082278,0.540937589025271,0.429916768699464,3.56589042061808e-06,-0.148703552494438,0.154793761598601,0.124762325085938,0.734223381183769,-0.0430510572995458,0.761706149416306,0.0335836569866647,0.998144679236324
"YHR092C",0.0662310923626951,0.869628096050895,1.08389118105963,0.00175151417207313,-0.381940370928873,0.294085670268282,1.90172228915087,5.71475721441795e-09,0.345106980137577,0.81166862251099,0.793278443429145,0.0421935854921429,-0.024552664662096,0.998144679236324
"YHR093W",0.529775607473653,0.124680364398474,0.310512845142579,0.401269049049373,0.258573217728081,0.496678834502347,1.13352000729915,0.000296581279506629,0.463549077828312,0.709457465419666,0.734751467573884,0.0517410029414372,-0.0882556945826844,NA
"YHR094C",-0.324595347703498,0.0203399909446981,-0.435452910650083,0.00216992019816412,-0.3519529088059,0.0107472249010497,-0.525115779212119,0.000136851836767617,0.174005099440691,0.736697026964738,0.201362660543094,0.237855964940586,0.29102552910513,0.430201568189043
"YHR095W",1.30127421700709,0.0118964107963567,-1.25566286633089,0.01836235332349,0.253162962371731,0.670450383179794,-0.371081490695712,0.549483087407674,-0.118594670341624,0.979299001485113,0.929516584293737,0.120401751258215,0.0449352086585567,NA
"YHR096C",2.92605003949846,1.24554806898248e-82,-0.930076764486571,2.42712827260492e-10,2.45152671462302,8.20315530106498e-57,-0.73950047779165,7.80493522417289e-07,0.282812716471855,0.671871043934638,0.757336041347289,2.2219107042289e-06,0.566759754652367,0.0102416038985405
"YHR097C",0.0904490707322585,0.866813301712589,0.293520590023713,0.600562747526868,0.0308719364482659,0.955634902055827,0.665409928932087,0.182478695991043,0.282571168697977,0.910295555709832,0.34214830298197,0.582562998630923,-0.0297410359264042,0.998144679236324
"YHR098C",-0.373780984260805,8.46333290151526e-08,-0.0960914601382056,0.247672556185735,-0.468926085746573,7.29434071437387e-12,-0.0484279722917674,0.590211259479985,0.0127576444853588,0.984050096800146,0.107902745971126,0.229238258148781,0.0602392581246881,0.998144679236324
"YHR099W",-0.29987735789778,0.00159296248428258,0.337568512011366,0.000542119520696138,-0.708291194616844,3.80512973382872e-15,0.738793507013777,5.04103591270135e-16,-0.0302004146186047,0.974906498579318,0.378213422100459,0.000317410104345392,-0.0230115729019519,0.998144679236324
